"Wateryear","Winter_Run_LAD_Expanded_Salvage","Winter_Run_LAD_Loss","Winter_Run_Genetic_Expanded_Salvage","Winter_Run_Genetic_Loss"
2015,53,105.9,0,0
2017,45.5,110.65,0,0
2018,241,670.15,32,97.27
2019,204,565.65,79,212.36
2021,5,8.21,0,0
