"week_number","percentage","Count"
"03",1.59,5
"05",1.9,6
"06",3.49,11
"07",3.49,11
"08",1.59,5
"09",4.76,15
"10",3.49,11
"11",1.27,4
"12",5.08,16
"13",7.3,23
"14",5.08,16
"15",6.98,22
"16",4.76,15
"17",7.62,24
"18",6.35,20
"19",13.33,42
"20",7.3,23
"21",6.67,21
"22",2.54,8
"23",1.9,6
"24",0.95,3
"25",0.32,1
"26",0.63,2
"36",0.32,1
"40",0.32,1
"41",0.32,1
"46",0.32,1
"52",0.32,1
