"week_number","percentage","Count"
"05",0.55,1
"06",2.75,5
"07",0.55,1
"08",3.85,7
"09",9.89,18
"10",9.34,17
"11",11.54,21
"12",20.33,37
"13",26.37,48
"14",10.99,20
"15",2.2,4
"47",0.55,1
"51",1.1,2
