"week_number","percentage","Count"
"01",0.32,1
"03",0.64,2
"04",0.32,1
"05",1.28,4
"07",5.43,17
"08",9.27,29
"09",10.22,32
"10",28.12,88
"11",18.53,58
"12",15.34,48
"13",6.71,21
"14",1.6,5
"17",0.96,3
"50",0.32,1
"51",0.32,1
"52",0.64,2
