"week_number","percentage","Count"
"02",2.2,2
"03",3.3,3
"04",3.3,3
"05",7.69,7
"06",8.79,8
"07",10.99,10
"08",7.69,7
"09",5.49,5
"10",1.1,1
"11",7.69,7
"12",1.1,1
"13",2.2,2
"14",2.2,2
"15",4.4,4
"16",3.3,3
"17",2.2,2
"18",5.49,5
"19",4.4,4
"20",1.1,1
"21",5.49,5
"22",3.3,3
"23",1.1,1
"24",2.2,2
"25",1.1,1
"50",1.1,1
"53",1.1,1
