"week_number","percentage","Count"
"03",2.47,2
"05",7.41,6
"06",16.05,13
"07",13.58,11
"08",6.17,5
"09",2.47,2
"10",3.7,3
"11",20.99,17
"12",9.88,8
"13",4.94,4
"14",8.64,7
"15",1.23,1
"50",2.47,2
