"Facility","Wateryear","Winter_Run_LAD_Expanded_Salvage","Winter_Run_LAD_Loss","Winter_Run_Genetic_Expanded_Salvage","Winter_Run_Genetic_Loss"
"CVP",2015,36,30.77,0,0
"CVP",2017,24,16.94,0,0
"CVP",2018,108,80,12,8.64
"CVP",2019,88,60.68,36,25.2
"CVP",2020,74,53.86,28,20.78
"CVP",2021,4,3.88,4,3.88
"SWP",2015,17,75.13,0,0
"SWP",2017,21.5,93.71,0,0
"SWP",2018,133,590.15,20,88.63
"SWP",2019,116,504.97,43,187.16
"SWP",2020,33,142.84,13,56.15
"SWP",2021,1,4.33,0,0
