"week_number","percentage","Count"
"02",0.62,1
"09",0.62,1
"10",0.62,1
"12",0.62,1
"14",9.32,15
"15",6.21,10
"16",16.15,26
"17",11.8,19
"18",10.56,17
"19",21.12,34
"20",11.8,19
"21",6.21,10
"22",4.35,7
